company_name,company_number,company_status,company_type,dissolution_date,incorporation_date,nature_of_business,registered_office_address
GLODIVE LTD,13845957,Active,Private limited company,,13/01/2022,62020 62090 74300 85590,71-75 Shelton Street Covent Garden London WC2H 9JQ
ARUTBA LTD,13845989,Active,Private limited company,,13/01/2022,64205 64301 64999 66110,71-75 Shelton Street Covent Garden London WC2H 9JQ
AION COMMUNICATIONS LTD,13846365,Active,Private limited company,,13/01/2022,61900,71-75 Shelton Street Covent Garden London WC2H 9JQ
ANIJIE GLOBAL LTD,13846367,Active,Private limited company,,13/01/2022,96090,71-75 Shelton Street Covent Garden London WC2H 9JQ
SEMPER EXCELSIUS LTD,13846366,Active,Private limited company,,13/01/2022,68100 68209,71-75 Shelton Street Covent Garden London WC2H 9JQ
ANALYTICR LTD,13846386,Active,Private limited company,,13/01/2022,96090,71-75 Shelton Street Covent Garden London WC2H 9JQ
MINIMALIST GOLF LTD,13846545,Active,Private limited company,,13/01/2022,96090,71-75 Shelton Street Covent Garden London WC2H 9JQ
VIRTUAL GREEN ENERGY LIMITED,13845711,Active,Private limited company,,13/01/2022,35110 47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
BERNASHI LTD,13845868,Active,Private limited company,,13/01/2022,45400 46760 47990,71-75 Shelton Street Covent Garden London WC2H 9JQ
COMPLEX ADAPTIVE SOFTWARE SYSTEMS LTD,13845881,Active,Private limited company,,13/01/2022,58290 62011 62012 72190,71-75 Shelton Street Covent Garden London WC2H 9JQ
CHANGING LIVES SUPPORT LTD,13845879,Active,Private limited by guarantee without share capital,,13/01/2022,86900 88990,71-75 Shelton Street Covent Garden London WC2H 9JQ
ONE LOOKOUT LTD,13846068,Active,Private limited company,,13/01/2022,58110 58210 58290 62012,71-75 Shelton Street Covent Garden London WC2H 9JQ
INFINITE SOLUTIONS PARTNERS LTD,13846613,Active,Private limited company,,13/01/2022,64209,71-75 Shelton Street Covent Garden London WC2H 9JQ
MERITA LTD,13845680,Active,Private limited company,,13/01/2022,47190 47770 47990 62020,71-75 Shelton Street Covent Garden London WC2H 9JQ
LOSOMO STUDIO LIMITED,13845672,Active,Private limited company,,13/01/2022,96090,71-75 Shelton Street Covent Garden London WC2H 9JQ
ADMEP LTD,13845675,Active,Private limited company,,13/01/2022,62012 62020 62090,71-75 Shelton Street Covent Garden London WC2H 9JQ
NEXT STEP TECH SERVICES LTD,13845676,Active,Private limited company,,13/01/2022,62020 62090,71-75 Shelton Street Covent Garden London WC2H 9JQ
LOUISE READ AESTHETICS LIMITED,13845642,Active,Private limited company,,13/01/2022,86220,71 Queen Victoria Street London EC4V 4BE
TWAIZAMINING LTD,13847372,Active,Private limited company,,13/01/2022,64191,71 Eaton Square Belgravia London SW1W 9AS
WARECOM LTD,13847036,Active,Private limited company,,13/01/2022,93199,71 Coles Avenue Poole BH15 4HJ
EAST COAST FITNESS PT LTD,13847127,Active,Private limited company,,13/01/2022,96090,7 Queen Street Seaham SR7 7SR
J.W.T LETTINGS LTD,13846544,Active,Private limited company,,13/01/2022,68209,7 Greenoak Close Abram Wigan WN2 5XN
MELLIFEX LLP,OC440635,Active,Limited liability partnership,,13/01/2022, ,7 Bloom House 15 Alameda Place London E3 2ZN
OCTOPUS ENERGY DEVELOPMENT PARTNERSHIP GP LIMITED,13847317,Active,Private limited company,,13/01/2022,64209,6th Floor 33 Holborn London EC1N 2HT
OCTOPUS ENERGY DEVELOPMENT PARTNERSHIP LP LIMITED,13847551,Active,Private limited company,,13/01/2022,64209,6th Floor 33 Holborn London EC1N 2HT
LILIANA TRADING LIMITED,13846053,Active,Private limited company,,13/01/2022,81210,6a Star Street Stourbridge DY9 8TU
MARK HEALY LTD,NI684981,Active,Private limited company,,13/01/2022,78109,69 Waterfoot Park Londonderry BT47 6SX
OBED LTD,13846039,Active,Private limited company,,13/01/2022,87200 87300 88100 88990,66 Borrowdale Crescent Leeds LS12 2JD
IZOBILIE GPS LTD,13846113,Active,Private limited company,,13/01/2022,45310,65 London Wall London EC2M 5TU
FLY UP BUSINESS CONSULTANTS LIMITED,SC719694,Active,Private limited company,,13/01/2022,70229,64a Cumberland Street Edinburgh EH3 6RE
OASIS GUILD GAMES UK LIMITED,13847338,Active,Private limited company,,13/01/2022,96090,64 New Cavendish Street London W1G 8TB
CANTERBURY PROPERTY HOLDINGS LIMITED,13846801,Active,Private limited company,,13/01/2022,70100,64 Chestfield Road Chestfield Whitstable CT5 3JH
WORK IT MEDIA LIMITED,13846601,Active,Private limited company,,13/01/2022,73110,63-66 Hatton Garden London EC1N 8LE
IBSSA UK LTD,13846746,Active,Private limited company,,13/01/2022,70229 80100 81299 85600,63 Cherrycroft Skelmersdale WN8 9EG
ECHO WHOLESALE LTD,13846422,Active,Private limited company,,13/01/2022,46900,62 Millbrook Road London N9 7HX
J.WELLS ROOFING LTD,13847301,Active,Private limited company,,13/01/2022,43910,62 Highbridge Road Aylesbury HP217RY
COOKIE TIME LTD,13847389,Active,Private limited company,,13/01/2022,52290,60 Stoney Lane Wakefield WF4 3JR
CINEK HAULAGE LTD,13846159,Active,Private limited company,,13/01/2022,49410,60 Brushwood Avenue Flint CH6 5YG
BAAKLON LIMITED,13847353,Active,Private limited company,,13/01/2022,47710 47750 47910,6 Warren Close Broomfield Chelmsford CM1 7HP
GRH CLEARWAREHOUSE LIMITED,13846379,Active,Private limited company,,13/01/2022,52103,6 Perth House Priors Haw Road Corby NN17 5JG
RLG WAREHOUSELINK LIMITED,13846415,Active,Private limited company,,13/01/2022,52103,6 Perth House Priors Haw Road Corby NN17 5JG
R&DL LTD,13847364,Active,Private limited company,,13/01/2022,46900 56101,6 Penmaesglas Terrace Tonypandy CF40 1EB
BRIDGE SECURE LIMITED,13846562,Active,Private limited company,,13/01/2022,80100,6 Hopetown Street London E1 5LE
RSW HOUSING LIMITED,13846794,Active,Private limited company,,13/01/2022,43320,5a Saffron Road Wigston Leicester LE18 4TF
STOPHER TRANSPORT LTD,13846600,Active,Private limited company,,13/01/2022,49410,59 Lambs Lane Cottenham Cambridge CB24 8TB
MUNDO LUSITANO LIMITED,13845730,Active,Private limited company,,13/01/2022,56101 56290,59 Dassett Road London SE27 0UF
BASEPOINTS SERVICES LTD,13846872,Active,Private limited company,,13/01/2022,56210,58b-58d Brondesbury Villas London NW6 6AB
CROSTI CO LIMITED,13846917,Active,Private limited company,,13/01/2022,96090,58 Woodheys Drive Sale M33 4JD
GP TEREACA LTD,13846940,Active,Private limited company,,13/01/2022,42130,58 Lansdowne Grove Wigston LE18 4LW
LAURENTIU SALES LTD,13847571,Active,Private limited company,,13/01/2022,45112,58 Fitzherbert Street Warrington WA2 7PN
BAY DESIGN AND BUILD LTD,13847350,Active,Private limited company,,13/01/2022,41202,57 Park Parade London NW10 4JB
RORO FOOD LIMITED,13847520,Active,Private limited company,,13/01/2022,56290,57 Montague Avenue Southampton SO19 0QB
NAJ ROOFING LTD,13846556,Active,Private limited company,,13/01/2022,43910,57 Ashbourne Road Derby DE22 3FS
PEGASUS LOUNGE LIMITED,13847624,Active,Private limited company,,13/01/2022,79110,56 Buckingham Gate London SW1E 6AE
NUHASH LONDON LTD,13846265,Active,Private limited company,,13/01/2022,56210 56290,550 Barking Road Plaistow London E13 9JU
INFINITY SQUARE CONSULTING LIMITED,13846086,Active,Private limited company,,13/01/2022,66190 70221,54 The Limes Avenue London N11 1RH
KLADIMA LIMITED,13846834,Active,Private limited company,,13/01/2022,68209,52 Walesby Drive Kirkby-In-Ashfield Nottingham NG17 7PF
X R DECORATING LTD,13847432,Active,Private limited company,,13/01/2022,43341,51b Guanock Terrace Kings Lynn PE305QT
NEW WORLD (SWADLINCOTE) LTD,13846102,Active,Private limited company,,13/01/2022,56103,51 Main Street Newhall Swadlincote DE11 0TW
SYNERGY R SPECIALISTS LTD,SC719763,Active,Private limited company,,13/01/2022,70229,505 Great Western Road Glasgow G12 8HN
PAVE THE WAY CARE LTD,13846182,Active,Private limited by guarantee without share capital,,13/01/2022,87900,50 Shirley Park Road Croydon CR0 7EU
TSS TRANSPORT LTD,13845858,Active,Private limited company,,13/01/2022,49410,50 Salop Road Oldbury B68 9AB
TOP MIX OXFORD LTD,13846829,Active,Private limited company,,13/01/2022,41100,5 Thorpes Field Alvescot Bampton OX18 2QF
L D & SONS CONSTRUCTION LIMITED,13846713,Active,Private limited company,,13/01/2022,43341,5 Theobald Court Theobald Street Borehamwood WD6 4RN
WATLOCK INVESTMENTS LIMITED,13847567,Active,Private limited company,,13/01/2022,68209,5 Prospect Place Millennium Way Pride Park Derby DE24 8HG
DARKTRANS LTD,13846675,Active,Private limited company,,13/01/2022,49410,5 Pashford Place Ipswich IP3 9UL
SUCCEED BUSINESS COACHING LIMITED,13846538,Active,Private limited company,,13/01/2022,70229,5 Palmerston Drive Wheathampstead St. Albans AL4 8FE
INDEPENDENT SOFTWARE LIMITED,13846429,Active,Private limited by guarantee without share capital,,13/01/2022,82990,5 New Street Square London EC4A 3TW
WHITEHOUSE SECURITY SERVICES LTD,13845933,Active,Private limited company,,13/01/2022,80100,5 Lynch Close Uxbridge UB8 2TG
VETERINARY ONCOLOGY SERVICES LTD,13847270,Active,Private limited company,,13/01/2022,75000,5 Greenhill Terrace Winchester SO22 5EB
KL PREMIUM CARE LIMITED,13847345,Active,Private limited company,,13/01/2022,87900,5 Giffard Court Millbrook Close Northampton NN5 5JF
CHI HEALTHCARE ENTERPRISES LIMITED,13845977,Active,Private limited company,,13/01/2022,87900 88100,5 Estcourt Road London SE25 4SE
BUHUS CLEANING LTD,13847534,Active,Private limited company,,13/01/2022,38110 81210 81299,5 Edensor Terrace Stoke-On-Trent ST3 2RE
EJ CROWD SAFETY AND EVENT MANAGEMENT LTD,13846088,Active,Private limited company,,13/01/2022,84240,5 Devonshire Close Sheffield S17 3NX
THE MINDSET BOX COMPANY LTD,13845609,Active,Private limited company,,13/01/2022,47910 47990,5 Bright Street Clitheroe BB7 1NW
VIRDI DESIGN AND BUILD ESSEX LTD,13846382,Active,Private limited company,,13/01/2022,41202 43120 43310 43330,497 High Road Ilford IG1 1TZ
HENBERK CONSTRUCTION & DEVELOPMENT LTD,13846686,Active,Private limited company,,13/01/2022,41201 41202,49 Eden Grove London N7 8EE
INSTA EUROPE LTD,13846242,Active,Private limited company,,13/01/2022,73110,483 Green Lanes London N13 4BS
GERBERA PRINT LTD,13847460,Active,Private limited company,,13/01/2022,47910,483 Green Lanes London N13 4BS
THE CORNER FLAG (HORNSEY ROAD) LTD,13846684,Active,Private limited company,,13/01/2022,56302,472 Hornsey Road London N19 4EF
HEWITT-HALLS LIMITED,13845784,Active,Private limited company,,13/01/2022,78200,47 Varley Street Derby DE24 8DE
CULVER SHADES LTD,13846208,Active,Private limited company,,13/01/2022,47710,47 Kepwick Road Leicester LE5 1NZ
ALBERT STREET SHOP LTD,SC719688,Active,Private limited company,,13/01/2022,47110,47 Castle Rise Wallyford EH21 8ES
MAKE POSITIVE STRIDES CIC,13847552,Active,Private limited by guarantee without share capital,,13/01/2022,93120 93199,46b Billington Road London SE14 5QQ
LANDRIC VERRIER LIMITED,13845952,Active,Private limited company,,13/01/2022,32120,46 Poplar Way Ilford IG6 1EN
LUXURIOUS DIRECT LIMITED,13847361,Active,Private limited company,,13/01/2022,47910,46 Dorrington Close Luton LU3 1XR
FRIMPS NATURALS LIMITED,13845884,Active,Private limited company,,13/01/2022,96090,46 Blithdale Road Abbeywood SE2 9HJ
COLOMBIA ROSE LTD,13845968,Active,Private limited company,,13/01/2022,56102,45 Belvoir Street Leicester LE1 6SL
NIBBLED BIRO LTD,13847440,Active,Private limited company,,13/01/2022,74909,44a Mora Road London NW2 6TG
MAREJOL LIMITED,13847597,Active,Private limited company,,13/01/2022,86101,44 Prestwood Drive Romford RM5 2SS
PROSEVA TAX & FINANCE LTD,13847137,Active,Private limited company,,13/01/2022,69201 69203,435 Stratford Road Shirley Solihull B90 4AA
MARIUSIKCONSTRUCT LTD,13845658,Active,Private limited company,,13/01/2022,41202,43 Southdrift Way Luton LU1 5PX
CAPITAL CARS ELMBRIDGE LTD,13845774,Active,Private limited company,,13/01/2022,49320,43 Danesfield Close Walton-On-Thames KT12 3BP
PHANTOM CLOUDS LTD,NI684982,Active,Private limited company,,13/01/2022,90030,43 Croft Hill Belfast BT8 6GX
QUEENSGATE BALLYMONEY LIMITED,NI684961,Active,Private limited company,,13/01/2022,98000,42a-44a New Row Coleraine BT52 1AF
TRINITY NURSING CARE LTD,13846714,Active,Private limited company,,13/01/2022,87100,42 Walkern Road Stevenage SG1 3RA
EASY WAY 2 CARE CONSULTANCY LIMITED,13846819,Active,Private limited company,,13/01/2022,86900,419 Grasmere Avenue Warrington WA2 0LA
CLICKTAX LONDON LTD,13845693,Active,Private limited company,,13/01/2022,69201,41 High Street Royston SG8 9AW
JP INSTALLATIONS LTD,13847373,Active,Private limited company,,13/01/2022,43320,41 Chestnut Avenue West Cross Swansea SA3 5NL
BRANDOCH DEVELOPMENTS LTD,SC719687,Active,Private limited company,,13/01/2022,41100,40b Melfort Avenue Clydebank G81 2HS
MARCHANT’S MAINTENANCE SERVICE LTD,13847132,Active,Private limited company,,13/01/2022,43999,4 Woodhays Basildon SS13 2RB
VINCENT & MORGAN LTD,13846920,Active,Private limited company,,13/01/2022,68209,4 St. Marys Mews 3 West Street Exeter EX1 1BB
E&A CAPITAL LIMITED,13847163,Active,Private limited company,,13/01/2022,68100,4 Rectory Lane Birmingham B36 9DH
EZEE RECRUITMENT LTD,13846441,Active,Private limited company,,13/01/2022,78200,4 Nutter Lane Wanstead E11 2HY
HULL-CARTER ESTATES LTD,13845748,Active,Private limited company,,13/01/2022,68310,4 Mount Pleasant Milford DE56 0QF
GLOBAL BUSINESS MERCHANTS LTD,13846211,Active,Private limited company,,13/01/2022,43290 82301,4 Lytton Road New Barnet Barnet EN5 5BY
DRISCOLL FITNESS LIMITED,13846067,Active,Private limited company,,13/01/2022,93130,4 Honister Avenue Orford Warrington WA2 9NG
NVT GROUP HOLDINGS LIMITED,SC719702,Active,Private limited company,,13/01/2022,62090,4 Earn Avenue Righead Industrial Estate Bellshill ML4 3LW
BALLYMAC STABLES LIMITED,NI684973,Active,Private limited company,,13/01/2022,1430,4 Ballymacanallen Road Gilford Craigavon BT63 6AD
ROMILEY LTD,13845940,Active,Private limited company,,13/01/2022,43390,4 Addingford Close Horbury Wakefield WF4 5BQ
GYLT FREE LTD,13847435,Active,Private limited company,,13/01/2022,82990,3rd Floor 86-90 Paul Street London EC2A 4NE
REDEFINED WORKFORCE LTD,13845778,Active,Private limited company,,13/01/2022,62012,3a Aberford Road Barwick In Elmet Leeds LS15 4EA
WHITECITY CARE 1 LTD,13847503,Active,Private limited company,,13/01/2022,87100 87300,39-43 Bridge Street Swinton Mexborough S64 8AP
MAXPEARS LIMITED,13845954,Active,Private limited company,,13/01/2022,87200 87300,39 Overbury Road Birmingham B31 2HF
TEONA HOMES LTD,13847494,Active,Private limited company,,13/01/2022,98000,38 Rosebery Avenue Gloucester GL1 5EJ
IMI RESTAURANT AND BAR LTD,13846685,Active,Private limited company,,13/01/2022,56101,37a Curzon Street London W1J 7TX
FIN FOOTWEAR LTD,13847039,Active,Private limited company,,13/01/2022,47710,37 Sandiway Avenue Widnes WA8 8LE
SAIRAMA LIMITED,13846726,Active,Private limited company,,13/01/2022,68100 68209 98000,36 Hillcroft Road Altrincham WA14 4JE
AFDF GLOBAL SERVICES LIMITED,13846056,Active,Private limited company,,13/01/2022,62020,"358 Kempshott Lane Basingstoke, Hampshire RG22 5LX"
ELEVATION HOMES CIC,13845922,Active,Private limited by guarantee without share capital,,13/01/2022,68201,35 Wyndham Avenue Liverpool L14 6TD
BITFLIP SOLUTIONS LIMITED,13847515,Active,Private limited company,,13/01/2022,62012 62020 71122,35 Whitley Mead Stoke Gifford Bristol BS34 8XT
ALL FRESH INTERNATIONAL LTD,13846309,Active,Private limited company,,13/01/2022,46310,35 Portland Crescent Greenford UB6 9EU
HEWITT PROPERTY INVESTMENTS LTD,13847496,Active,Private limited company,,13/01/2022,68100 68209,35 Mendip Drive Redcar TS10 4HE
K8 VOGUE LTD,13847462,Active,Private limited company,,13/01/2022,74909,34 School Road Dagenham RM10 9QJ
LEDIAKA SOLUTIONS LTD,13846261,Active,Private limited company,,13/01/2022,82990,34 Lodge Road Aston Birmingham B6 6LU
APENADO SOLUTIONS LTD,13845974,Active,Private limited company,,13/01/2022,82990,34 Lodge Road Aston Birmingham B6 6LU
PERATOK SOLUTIONS LTD,13847038,Active,Private limited company,,13/01/2022,82990,34 Lodge Road Aston Birmingham B6 6LU
THE TALENT COLLABORATORY LTD,13846572,Active,Private limited company,,13/01/2022,70229 82990,337 Forest Road London E175JR
T4YLORS LTD,13846809,Active,Private limited company,,13/01/2022,52290,33 Romford Road Pembury Tunbridge Wells TN2 4JB
CLEARANCE 4 ALL LTD,13846846,Active,Private limited company,,13/01/2022,47990,33 Chellow Grange Road Bradford BD9 6NL
SOUND STORIES CIC,13845956,Active,Private limited by guarantee without share capital,,13/01/2022,85520 85600,32 The Norton Tenby SA70 8AB
GODFREY GARAGE (HOLBEACH) LTD,13846331,Active,Private limited company,,13/01/2022,45200,32 The Crescent Spalding PE11 1AF
NEW VIEW PROPERTY CARE LTD,13846747,Active,Private limited company,,13/01/2022,41202,32 The Crescent Spalding PE11 1AF
SAY IT WITH YOUR CHEST ARTS CIC,13846533,Active,Private limited by guarantee without share capital,,13/01/2022,90010 90020 90030,32 Oak Tree Crescent Leeds LS9 6SE
DART HOLIDAYS LTD,13846857,Active,Private limited company,,13/01/2022,55209,32 Norton Park Norton Dartmouth TQ6 0HN
VORTX TECHNOLOGIES LTD,13846927,Active,Private limited company,,13/01/2022,30300 62012 71121,32 Brecon Street Cardiff CF5 1RE
REAL ESTATE EXPERIENCE LONDON LLP,OC440638,Active,Limited liability partnership,,13/01/2022, ,315 Chester House 1-3 Brixton Road London SW9 6DE
THE PLAYROOM HEALTH & FITNESS LIMITED,13845849,Active,Private limited company,,13/01/2022,56290 96040,31 Wilmslow Road Cheadle SK8 1DR
DREAM HOME VENTURES LTD,13847568,Active,Private limited company,,13/01/2022,41100 68100,31 Heatherway Sale M33 5JZ
EMMANU'-EL APOSTOLIC PUBLISHERS LIMITED,13846599,Active,Private limited company,,13/01/2022,58190,305-307 Saffron Lane Leicester LE2 6UE
CITI ELECTRICIANS LTD,13847456,Active,Private limited company,,13/01/2022,43210,30 Stock Street London E13 0BY
AKTIVE FIRE DESIGN LIMITED,13846176,Active,Private limited company,,13/01/2022,71121,30 St. James Road Crigglestone Wakefield WF4 3FR
SALVATORE SUPPLEMENTS LIMITED,13846815,Active,Private limited company,,13/01/2022,10890,30 Queen Street Barkby Thorpe Barkby LE7 3QH
GOMAINFREE LTD,13846856,Active,Private limited company,,13/01/2022,62020 62090,3 Hayward Close Clevedon BS21 5ER
NEOS MULTIDROP LIMITED,13846598,Active,Private limited company,,13/01/2022,29320,3 Chester Gates Dunkirk Chester CH1 6LT
ERKAN LTD,13845650,Active,Private limited company,,13/01/2022,56103,3 Chapel Street Flamborough Bridlington YO15 1LH
MWDN22 LIMITED,13846988,Active,Private limited company,,13/01/2022,35110,3 Castlegate Grantham NG31 6SF
SERENDIPITY LEARNING LTD,13846577,Active,Private limited company,,13/01/2022,85590,2nd Floor The Fragrance House Haydon Wells BA5 3FF
SIMON GREGORY LTD,13846534,Active,Private limited company,,13/01/2022,26400,2g Rectory Road Crumlin Newport NP11 5EB
RÉNAO RECORDS LTD,13846677,Active,Private limited company,,13/01/2022,96090,2a Connaught Avenue Chingford London E4 7AA
YIWU HAO DUO MI INTERNATIONAL TRADE CO. LTD,13846951,Active,Private limited company,,13/01/2022,99999,291 Brighton Road South Croydon CR2 6EQ
AZEENA TRADING LIMITED,13845983,Active,Private limited company,,13/01/2022,96020,29 Oakfield Road Wollescote Stourbridge DY9 9DL
CONTRAST I.T. LIMITED,13846245,Active,Private limited company,,13/01/2022,62020,29 Glebe Court Rothwell Leeds LS26 0WR
ADOLPHUS PROPERTY LIMITED,13846704,Active,Private limited company,,13/01/2022,98000,288 Church Street Blackpool FY1 3QA
LIPBLUSHLDN LTD,13847058,Active,Private limited company,,13/01/2022,96020,287 Hertford Road Edmonton N9 7ES
PURPLE GRAND HOLDINGS LTD,13846080,Active,Private limited company,,13/01/2022,64209,286b Chase Road London N14 6HF
KATCO MEDIA LTD,13847049,Active,Private limited company,,13/01/2022,59112 59113 59132 73120,286 Lansbury Drive Hayes UB4 8SN
DARCY’S FASHION HOUSE LIMITED,13846965,Active,Private limited company,,13/01/2022,46160,28 Perkins Close Greenhithe DA9 9QF
PRINCIPAL BUSINESS SERVICES LTD,13847369,Active,Private limited company,,13/01/2022,70229,28 Mill Road Southampton SO15 4JA
TIE DYE HOODIE LTD,13845620,Active,Private limited company,,13/01/2022,47190,28 Llewellin Road Kington HR5 3AB
PLANET RECYCLING LTD,13846566,Active,Private limited company,,13/01/2022,46770,28 Grove Road Turvey Bedford MK43 8EA
FORZA BOOST LTD,13846215,Active,Private limited company,,13/01/2022,74100,275 New North Road London N1 7AA
WU 28 CHINESE LTD,13846313,Active,Private limited company,,13/01/2022,56103,27-28 Wharf Road Grantham NG31 6BG
CLEAR SKIN CLINICS & AESTHETICS LTD,13845601,Active,Private limited company,,13/01/2022,47750 85590 86900 96020,27 Winwick Park Winwick Warrington WA2 8XP
COMMERCIAL PLUMBING SOLUTIONS LIMITED,13845973,Active,Private limited company,,13/01/2022,43220,27 Willins Coed Eva Cwmbran NP44 4TH
ORCHID NAILS LIMITED,NI684958,Active,Private limited company,,13/01/2022,96020,27 Townhall Enniskillen BT74 7BD
UNDISPUTED PROMOTIONS LIMITED,13847306,Active,Private limited company,,13/01/2022,93199,27 St. Cuthberts Street Bedford MK40 3JG
TOUCHDOWN HOUSE LTD,13847293,Active,Private limited by guarantee without share capital,,13/01/2022,93290,27 Rigley Potts Park Wigan WN2 4UN
BLONDIE VENTURES LLP,OC440627,Active,Limited liability partnership,,13/01/2022, ,27 Mortimer Street London W1T 3BL
CUSTOM FURNITURE GUYS LTD,13847044,Active,Private limited company,,13/01/2022,95240,27 Holland Road Clacton-On-Sea CO16 9RT
HUESDA LTD,13845923,Active,Private limited company,,13/01/2022,68320,26b Bradford Road Guiseley Leeds LS20 8NH
DRAGONFLY EUROPE LIMITED,13845627,Active,Private limited company,,13/01/2022,70229,269 Farnborough Road Farnborough GU14 7LY
PANDA GARDEN DONCASTER LTD,13845788,Active,Private limited company,,13/01/2022,56103,264 Great North Road Woodlands Doncaster DN6 7HP
SHAHID FASHION TRADERS LTD,13847121,Active,Private limited company,,13/01/2022,47990,26 Manchester Road Nelson BB9 7EG
THE PRU TWF LTD,13845955,Active,Private limited company,,13/01/2022,96090,25 Irwell Estate Neptune Street London SE16 7JR
UNBREAKABLE MINDSET LTD,SC719747,Active,Private limited company,,13/01/2022,70229,24 West Path Carnoustie DD7 7BY
KLASHED AESTHETICS LIMITED,13845936,Active,Private limited company,,13/01/2022,96020 96090,24 Station Road Chingford London E4 7BE
REWIND DETAILING LTD,SC719700,Active,Private limited company,,13/01/2022,45200,2-4 Salamander Place Edinburgh EH6 7JB
BOYZ & BOIS LIMITED,13847123,Active,Private limited company,,13/01/2022,74990,24 Geoffrey Basement Flat London SE4 1NT
PAUL CROWDY PARTNERSHIP 2 LIMITED,13846167,Active,Private limited company,,13/01/2022,69201,"24 Apex Court,  Woodlands Bradley Stoke Bristol BS32 4JT"
MANDEEQ LIMITED,13846728,Active,Private limited company,,13/01/2022,49410,23-27 King Street Luton LU1 2DW
SONIC GUN MANAGEMENT LIMITED,13846311,Active,Private limited company,,13/01/2022,90020,23 The Birches Bramhope Leeds LS16 9DP
ELITE LUXURY HOLDING LIMITED,13846806,Active,Private limited company,,13/01/2022,66220,23 Queen Alexandra Road High Wycombe HP11 2HJ
SATVIK FOOD LTD,13846861,Active,Private limited company,,13/01/2022,56290,23 Poolsford Road Colindale NW9 6HP
BORN AGAIN PRODUCTIONS PVT LTD,13846338,Active,Private limited company,,13/01/2022,59120,23 Montague Road Uxbridge UB8 1QL
SG HORTICULTURAL LTD,13847110,Active,Private limited company,,13/01/2022,46610,23 Danes Close Arnold Nottingham NG5 8NU
SURREY WELLNESS LTD,13846181,Active,Private limited company,,13/01/2022,96040,23 Chiltern Drive Surbiton KT5 8LP
SCIENCE SCRIPT LTD,13846048,Active,Private limited company,,13/01/2022,74909,22b Crown Road Twickenham TW1 3EE
VKP CLOTHING LIMITED,13846688,Active,Private limited company,,13/01/2022,47510,223a High Street North London E6 1JG
M&K BLOODSTOCK LIMITED,13847339,Active,Private limited company,,13/01/2022,1430,22 St. Davids Close Farnborough GU14 9AQ
ALUXEPRINTS LTD,13846909,Active,Private limited company,,13/01/2022,18129,22 South Street Peterborough PE1 5AJ
ATELIER BROWN LTD,13845782,Active,Private limited company,,13/01/2022,71111,22 North End Higham Ferrers Rushden NN10 8JB
CEDAR BLOOMS LIMITED,13847032,Active,Private limited company,,13/01/2022,68100 68201 68209 68320,22 Mulberry Road Ashford TN23 3QF
HOGANGROUPPROPERTYHOLDINGS LIMITED,13845882,Active,Private limited company,,13/01/2022,77400,22 Carr Brook Drive Atherton Manchester M46 9HT
CAMERON EVENT CONSULTANCY LTD,SC719740,Active,Private limited company,,13/01/2022,82990,22 Backbrae Street Kilsyth Glasgow G65 0NH
UMS INVESTMENT LTD,13845750,Active,Private limited company,,13/01/2022,68209,216 Stoke Newington High Street London N16 7DJ
CR PREMIUM VALETING SERVICE LTD,13846762,Active,Private limited company,,13/01/2022,81299,212 Dunstall Road Wolverhampton WV6 0NX
SHI GOLDEN CHINA LTD,13846183,Active,Private limited company,,13/01/2022,56103,204 Keyham Road Plymouth PL2 1RD
TRIANGLE PARTNERS LIMITED,13846110,Active,Private limited company,,13/01/2022,64209,20-22 Wenlock Road London N1 7GU
BLUE TIGER INTERNATIONAL LTD,13846731,Active,Private limited company,,13/01/2022,47910,20-22 Wenlock Road London N1 7GU
ASIA EXPERIENCED LTD,13847433,Active,Private limited company,,13/01/2022,73110,20-22 Wenlock Road London N1 7GU
INTERNATIONAL CONGRESS FOR HEALTH SPECIALTIES LTD,13846285,Active,Private limited company,,13/01/2022,99999,20-22 Wenlock Road London N1 7GU
ANGELIS LTD,13846277,Active,Private limited company,,13/01/2022,96020,20-22 Wenlock Road London N1 7GU
BURGER BOXXX LTD,13846873,Active,Private limited company,,13/01/2022,56103,20-22 Wenlock Road London N1 7GU
PREMIUM SPIRITS GROUP LTD,13847582,Active,Private limited company,,13/01/2022,11010 46342,20-22 Wenlock Road London N1 7GU
HASSAN HUSSEIN LTD,13847579,Active,Private limited company,,13/01/2022,47910 68320 98000,20-22 Wenlock Road London N1 7GU
M CORPORATION LTD,13846193,Active,Private limited company,,13/01/2022,70229,20-22 Wenlock Road London N1 7GU
MYL HOLDING LTD,13846196,Active,Private limited company,,13/01/2022,64209,20-22 Wenlock Road London N1 7GU
STOCKLOT SOLUTIONS LTD,13847504,Active,Private limited company,,13/01/2022,46160 46410 46420 47510,20-22 Wenlock Road London N1 7GU
LIFE FUNNY COOL ELECTRONIC COMMERCE LTD,13845860,Active,Private limited company,,13/01/2022,1110,20-22 Wenlock Road London N1 7GU
FYLA SERVICES LTD,13846081,Active,Private limited company,,13/01/2022,41201 41202 43390,20-22 Wenlock Road London N1 7GU
PJARCHITECTURE LTD,13846396,Active,Private limited company,,13/01/2022,71111,20-22 Wenlock Road London N1 7GU
BOSS MAN BARBERS LTD,13845704,Active,Private limited company,,13/01/2022,96020,20-22 Wenlock Road London N1 7GU
