company_name,company_number,company_status,company_type,dissolution_date,incorporation_date,nature_of_business,registered_office_address
BRAY PLANT (HIRE) LTD,13839115,Active,Private limited company,,2022-01-10,33120,71-75 Shelton Street Covent Garden London WC2H 9JQ
BYSALLA LTD,13841004,Active,Private limited company,,2022-01-11,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
7BARI LTD,13841198,Active,Private limited company,,2022-01-11,46420,71-75 Shelton Street Covent Garden London WC2H 9JQ
BLACK PROFESSIONALS NETWORK LTD,13841132,Active,Private limited company,,2022-01-11,74909,71-75 Shelton Street Covent Garden London WC2H 9JQ
SPICY BODY OIL LTD,13841318,Active,Private limited company,,2022-01-11,47190,71-75 Shelton Street Covent Garden London WC2H 9JQ
5 RIGHTS LTD,13841320,Active,Private limited company,,2022-01-11,70229,71-75 Shelton Street Covent Garden London WC2H 9JQ
MR.BLUE DIGITAL LTD,13841704,Active,Private limited company,,2022-01-11,62090 73110 82990,71-75 Shelton Street Covent Garden London WC2H 9JQ
A.H AUTOMOTIVE EXPORT LTD.,13841858,Active,Private limited company,,2022-01-11,45111 45112 45190 46140,71-75 Shelton Street Covent Garden London WC2H 9JQ
CHINGFORD EATS LTD,13841854,Active,Private limited company,,2022-01-11,56102,71-75 Shelton Street Covent Garden London WC2H 9JQ
PHARMACAM LTD,13842058,Active,Private limited company,,2022-01-11,74909 86900,71-75 Shelton Street Covent Garden London WC2H 9JQ
SAFE WAITING ROOM LTD,13843194,Active,Private limited company,,2022-01-12,47190,71-75 Shelton Street Covent Garden London WC2H 9JQ
ONIT AUTOS LTD,13843204,Active,Private limited company,,2022-01-12,45112 45200 47990 66300,71-75 Shelton Street Covent Garden London WC2H 9JQ
REPHASE LIMITED,13842188,Active,Private limited company,,2022-01-11,96090,71-75 Shelton Street Covent Garden London WC2H 9JQ
VERTAGADA LTD,13842306,Active,Private limited company,,2022-01-11,45190 45200,71-75 Shelton Street Covent Garden London WC2H 9JQ
