company_name,company_number,company_status,company_type,dissolution_date,incorporation_date,nature_of_business,registered_office_address
GATEWAY WORLDWIDE HOLIDAYS LTD,13839844,Active,Private limited company,,2022-01-11,93290,71-75 Shelton Street Covent Garden London WC2H 9JQ
M-EXPERT LTD,13839813,Active,Private limited company,,2022-01-11,63990 74300 79909 82990,71-75 Shelton Street Covent Garden London WC2H 9JQ
NEWWAVER LIMITED,13839782,Active,Private limited company,,2022-01-11,70229 73110 73200 74300,71-75 Shelton Street Covent Garden London WC2H 9JQ
LAZARR COMPANY LTD,13839784,Active,Private limited company,,2022-01-11,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
FOUNTHILL PASLOW LTD,13841743,Active,Private limited company,,2022-01-11,41100,71-75 Shelton Street Covent Garden London WC2H 9JQ
7P APERITIVO LTD,13842072,Active,Private limited company,,2022-01-11,46170 46190 56210 96090,71-75 Shelton Street Covent Garden London WC2H 9JQ
GANDR ESTATE PARTNERS LTD,13839188,Active,Private limited company,,2022-01-10,68209 68310 68320,71-75 Shelton Street Covent Garden London WC2H 9JQ
HEALTHY NUTRITIUM LTD,13840774,Active,Private limited company,,2022-01-11,47910 86900,71-75 Shelton Street Covent Garden London WC2H 9JQ
PELIVO LTD,13840729,Active,Private limited company,,2022-01-11,45190 45200,71-75 Shelton Street Covent Garden London WC2H 9JQ
MATTHEW HALL PHOTOGRAPHY LTD,13841333,Active,Private limited company,,2022-01-11,74201 74202 74209,71-75 Shelton Street Covent Garden London WC2H 9JQ
CARLABLANCA LTD,13841412,Active,Private limited company,,2022-01-11,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
LSFRMARKET LTD,13842442,Active,Private limited company,,2022-01-11,96090,71-75 Shelton Street Covent Garden London WC2H 9JQ
AZAGS ENTERPRISES LTD,13840508,Active,Private limited company,,2022-01-11,95220,71-75 Shelton Street Covent Garden London WC2H 9JQ
GUIAC LTD,13840902,Active,Private limited company,,2022-01-11,96090,71-75 Shelton Street Covent Garden London WC2H 9JQ
TALK IT THRU LIMITED,13842432,Active,Private limited company,,2022-01-11,63990 98200,71-75 Shelton Street Covent Garden London WC2H 9JQ
3 ELEPHANTS ANTIQUES ARCADE LTD,13839138,Active,Private limited company,,2022-01-10,47791 47799,71-75 Shelton Street Covent Garden London WC2H 9JQ
SCRUBBERY LTD,13839199,Active,Private limited company,,2022-01-10,46180 96090,71-75 Shelton Street Covent Garden London WC2H 9JQ
ANCHOR SPORTS & PROPERTIES LIMITED,13840245,Active,Private limited company,,2022-01-11,46190 68100 68320 93199,71-75 Shelton Street Covent Garden London WC2H 9JQ
JELDY LTD,13840209,Active,Private limited company,,2022-01-11,96090,71-75 Shelton Street Covent Garden London WC2H 9JQ
KAMMI LTD,13840216,Active,Private limited company,,2022-01-11,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
CLOUDPOINTSOLUTIONS LIMITED,13840595,Active,Private limited company,,2022-01-11,46510 46520 46900,71-75 Shelton Street Covent Garden London WC2H 9JQ
TULIP DELIVERY LTD,13841853,Active,Private limited company,,2022-01-11,46220 46420,71-75 Shelton Street Covent Garden London WC2H 9JQ
GET GO HEALTH CARE LIMITED,13841843,Active,Private limited company,,2022-01-11,86900 88100 88990,71-75 Shelton Street Covent Garden London WC2H 9JQ
KC CAPITAL LTD,13842055,Active,Private limited company,,2022-01-11,96090,71-75 Shelton Street Covent Garden London WC2H 9JQ
INVICTUS FINANCIAL LTD,13842379,Active,Private limited company,,2022-01-11,64922,71-75 Shelton Street Covent Garden London WC2H 9JQ
STYLISH ATTITUDE LTD,13842380,Active,Private limited company,,2022-01-11,47710,71-75 Shelton Street Covent Garden London WC2H 9JQ
MPACE LTD,13843140,Active,Private limited company,,2022-01-12,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
GL PROJECTS LTD,13843141,Active,Private limited company,,2022-01-12,68100,71-75 Shelton Street Covent Garden London WC2H 9JQ
TITUXE COMPANY LTD,13843440,Active,Private limited company,,2022-01-12,46450 47640,71-75 Shelton Street Covent Garden London WC2H 9JQ
EZA DESIGN AND FASHION LTD,13843566,Active,Private limited company,,2022-01-12,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
RONYALINA LTD,13843562,Active,Private limited company,,2022-01-12,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
GLENSHEE TECHNOLOGY SERVICES LIMITED,13844640,Active,Private limited company,,2022-01-12,62020,71-75 Shelton Street Covent Garden London WC2H 9JQ
SARE OTACI LTD,13843515,Active,Private limited company,,2022-01-12,46190,71-75 Shelton Street Covent Garden London WC2H 9JQ
TULINE TURIZM LTD,13843729,Active,Private limited company,,2022-01-12,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
AYCA LTD,13844321,Active,Private limited company,,2022-01-12,62020 63910 63990,71-75 Shelton Street Covent Garden London WC2H 9JQ
LINFRANGIBLE LTD,13844450,Active,Private limited company,,2022-01-12,96090,71-75 Shelton Street Covent Garden London WC2H 9JQ
EXPERTLY MARKETPLACE LIMITED,13844658,Active,Private limited company,,2022-01-12,62090,71-75 Shelton Street London WC2H 9JQ
THERAFLLEX LTD,13842949,Active,Private limited company,,2022-01-12,96090,71-75 Shelton Street Covent Garden London WC2H 9JQ
THE NORTH MERCHANT LIMITED,13843243,Active,Private limited company,,2022-01-12,46900 47910 47990,71-75 Shelton Street Covent Garden London WC2H 9JQ
WS87 LTD,13843597,Active,Private limited company,,2022-01-12,47910 62012 95110,71-75 Shelton Street London WC2H 9JQ
AMAZING DALTERS LIMITED,13843654,Active,Private limited company,,2022-01-12,68100 68209 68310 68320,71-75 Shelton Street Covent Garden London WC2H 9JQ
FESTIVITYCO LTD,13843658,Active,Private limited company,,2022-01-12,32990,71-75 Shelton Street Covent Garden London WC2H 9JQ
QOSMINI GLOBAL POWER LTD,13843763,Active,Private limited company,,2022-01-12,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
SALAM TRADE LIMITED,13843775,Active,Private limited company,,2022-01-12,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
SAXON SPORTS GROUP LTD,13844502,Active,Private limited company,,2022-01-12,96040,71-75 Shelton Street Covent Garden London WC2H 9JQ
THEN WH LIMITED,13844501,Active,Private limited company,,2022-01-12,41100,71-75 Shelton Street Covent Garden London WC2H 9JQ
CHELSEA CITY HOMES LTD,13844591,Active,Private limited company,,2022-01-12,55900,71-75 Shelton Street Covent Garden London WC2H 9JQ
SEMPER IUVENIS LTD,13843284,Active,Private limited company,,2022-01-12,87300,71-75 Shelton Street Covent Garden London WC2H 9JQ
PRACEE GLOBAL LTD,13843302,Active,Private limited company,,2022-01-12,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
FORGET ME NOT FUNDRAISING LTD,13843310,Active,Private limited company,,2022-01-12,96090,71-75 Shelton Street Covent Garden London WC2H 9JQ
NARAT LTD,13843367,Active,Private limited company,,2022-01-12,79110 79120 96090,71-75 Shelton Street Covent Garden London WC2H 9JQ
CALSCI LLP,OC440600,Active,Limited liability partnership,,2022-01-12," ",71-75 Shelton Street Covent Garden London WC2H 9JQ
SNAZZDUP LTD,13843264,Active,Private limited company,,2022-01-12,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
NINEERO LTD,13843826,Active,Private limited company,,2022-01-12,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
YOUR MAIDS LTD,13843835,Active,Private limited company,,2022-01-12,81221 81222 81291 81299,71-75 Shelton Street Covent Garden London WC2H 9JQ
DENTON FIDUCIAIRE [FRANCE] LIMITED,13838672,Active,Private limited company,,2022-01-10,69201 69202 69203 70221,71-75 Shelton Street Covent Garden London WC2H 9JQ
DTL STORES LTD,13843227,Active,Private limited company,,2022-01-12,47190 47910 47990,71-75 Shelton Street Covent Garden London WC2H 9JQ
FARMICO LIMITED,13843675,Active,Private limited company,,2022-01-12,56290,71-75 Shelton Street Covent Garden London WC2H 9JQ
NISI DOMINUS FRUSTRA LTD,13843794,Active,Private limited company,,2022-01-12,68201,71-75 Shelton Street Covent Garden London WC2H 9JQ
CLEANSERVERS LTD,13843810,Active,Private limited company,,2022-01-12,96090,71-75 Shelton Street Covent Garden London WC2H 9JQ
CIZME LTD,13843819,Active,Private limited company,,2022-01-12,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
BLXCK ALLURE LTD,13843823,Active,Private limited company,,2022-01-12,46160 47710 47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
ZHAOXI LTD,13843949,Active,Private limited company,,2022-01-12,63120,71-75 Shelton Street Covent Garden London WC2H 9JQ
JOYHOO INVESTMENTS LIMITED,13843952,Active,Private limited company,,2022-01-12,68100 68209,71-75 Shelton Street Covent Garden London WC2H 9JQ
COUNT TECH LTD,13844766,Active,Private limited company,,2022-01-12,63990,71-75 Shelton Street Covent Garden London WC2H 9JQ
ONIYX INDUSTRIES LTD,13844776,Active,Private limited company,,2022-01-12,47410 47520 47910 62090,71-75 Shelton Street Covent Garden London WC2H 9JQ
ALL-INCLUSIVE EMPLOYMENT AGENCY LTD,13844821,Active,Private limited company,,2022-01-12,78200,71-75 Shelton Street Covent Garden London WC2H 9JQ
CHUNKIFIED LTD,13845771,Active,Private limited company,,2022-01-13,58210 58290 62012,71-75 Shelton Street Covent Garden London WC2H 9JQ
ANGLIA CRUSHING & SCREENING LTD,13845892,Active,Private limited company,,2022-01-13,09900,71-75 Shelton Street Covent Garden London WC2H 9JQ
LYDLING HOLDINGS LTD LTD,13845972,Active,Private limited company,,2022-01-13,41100 42990 68202 68320,71-75 Shelton Street Covent Garden London WC2H 9JQ
IDEAX LTD,13845970,Active,Private limited company,,2022-01-13,62012,71-75 Shelton Street Covent Garden London WC2H 9JQ
PSYCHE TOKEN LTD,13846312,Active,Private limited company,,2022-01-13,62090 66110 70221,71-75 Shelton Street London WC2H 9JQ
CACHET BUILDING SERVICES LTD,13844702,Active,Private limited company,,2022-01-12,41100 41202 43290,71-75 Shelton Street Covent Garden London WC2H 9JQ
ZENEO LTD,13844848,Active,Private limited company,,2022-01-12,46310 46510 47410 47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
PLSHIPPING2020 LTD,13846464,Active,Private limited company,,2022-01-13,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
LOCAL REMIDIES LTD,13846444,Active,Private limited company,,2022-01-13,47421 47781 47791 47799,71-75 Shelton Street Covent Garden London WC2H 9JQ
THEMIU LTD,13846478,Active,Private limited company,,2022-01-13,47910 63990 82990,71-75 Shelton Street Covent Garden London WC2H 9JQ
D'ANJOU KNIGHTSBRIDGE NURSERY LTD,13845841,Active,Private limited company,,2022-01-13,85100,71-75 Shelton Street Covent Garden London WC2H 9JQ
ABOUMARKET LTD,13846023,Active,Private limited company,,2022-01-13,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
KASTORIA GROUP LTD,13844779,Active,Private limited company,,2022-01-12,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
PEERIE WANS LTD,13845850,Active,Private limited company,,2022-01-13,88910,71-75 Shelton Street Covent Garden London WC2H 9JQ
ECHO WORLD WIDE LTD,13845853,Active,Private limited company,,2022-01-13,58290 62011 63120,71-75 Shelton Street Covent Garden London WC2H 9JQ
BEN'S DROP LTD,13845915,Active,Private limited company,,2022-01-13,96090,71-75 Shelton Street Covent Garden London WC2H 9JQ
NEXTRY LTD,13846115,Active,Private limited company,,2022-01-13,62012 62020,71-75 Shelton Street Covent Garden London WC2H 9JQ
TANEV PROPERTIES LTD,13846380,Active,Private limited company,,2022-01-13,68209,71-75 Shelton Street Covent Garden London WC2H 9JQ
REACT IT LTD,13846514,Active,Private limited company,,2022-01-13,62011 62012 62020 62090,71-75 Shelton Street Covent Garden London WC2H 9JQ
MEET2DAT LTD,13846548,Active,Private limited company,,2022-01-13,62090 63110 63120 63990,71-75 Shelton Street Covent Garden London WC2H 9JQ
EMBRACE INVESTMENTS LTD,13847693,Active,Private limited company,,2022-01-13,96090,71-75 Shelton Street Covent Garden London WC2H 9JQ
FIESTA GROUP BRANDS LTD,13847760,Active,Private limited company,,2022-01-13,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
WELLYTIC LTD,13847943,Active,Private limited company,,2022-01-13,47910 96090,71-75 Shelton Street Covent Garden London WC2H 9JQ
MSJ BUSINESS LTD,13846527,Active,Private limited company,,2022-01-13,47190 47410 47620 47770,71-75 Shelton Street Covent Garden London WC2H 9JQ
POLYFIELDS LTD,13846563,Active,Private limited company,,2022-01-13,61100 61200 61900 96090,71-75 Shelton Street Covent Garden London WC2H 9JQ
FAVACON LTD,13846550,Active,Private limited company,,2022-01-13,46420 46450 46460 47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
SHIFT LABS LTD,13847413,Active,Private limited company,,2022-01-13,62090 90030,71-75 Shelton Street Covent Garden London WC2H 9JQ
INFORMAL SYSTEMS LTD,13847697,Active,Private limited company,,2022-01-13,62012 62090,71-75 Shelton Street Covent Garden London WC2H 9JQ
GURUNAGE LTD,13847742,Active,Private limited company,,2022-01-13,46160 46410,71-75 Shelton Street Covent Garden London WC2H 9JQ
REAL BROOKLYN LTD,13847747,Active,Private limited company,,2022-01-13,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
PCE FOOTBALL LTD,13846692,Active,Private limited company,,2022-01-13,85510,71-75 Shelton Street Covent Garden London WC2H 9JQ
VIRAL ACTIVE LTD,13847297,Active,Private limited company,,2022-01-13,96090,71-75 Shelton Street Covent Garden London WC2H 9JQ
MTG HOMES LTD,13847541,Active,Private limited company,,2022-01-13,68209 68320,71-75 Shelton Street Covent Garden London WC2H 9JQ
FIGURIST LTD,13836655,Active,Private limited company,,2022-01-10,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
THE RANDOM SERVICES & SOLUTIONS COMPANY LTD,13836942,Active,Private limited company,,2022-01-10,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
RABMALL LTD,13836725,Active,Private limited company,,2022-01-10,47990,71-75 Shelton Street Covent Garden London WC2H 9JQ
EUCHA GROUP LTD,13836722,Active,Private limited company,,2022-01-10,63910,71-75 Shelton Street Covent Garden London WC2H 9JQ
SMES OFFICIAL LTD,13836909,Active,Private limited company,,2022-01-10,47710 47721 47770,71-75 Shelton Street Covent Garden London WC2H 9JQ
BRIDE EST BELLE LIMITED,13837532,Active,Private limited company,,2022-01-10,47190 47910 47990,71-75 Shelton Street Covent Garden London WC2H 9JQ
MM CONSULTANCY SERVICES LTD,13837529,Active,Private limited company,,2022-01-10,70229,71-75 Shelton Street Covent Garden London WC2H 9JQ
SELF AND SEA LTD,13837531,Active,Private limited company,,2022-01-10,86900,71-75 Shelton Street Covent Garden London WC2H 9JQ
WORBEAUTY LTD,13836850,Active,Private limited company,,2022-01-10,45190 45200 45310,71-75 Shelton Street Covent Garden London WC2H 9JQ
ERDEM MEDICAL DEVICES LTD,13836839,Active,Private limited company,,2022-01-10,47749 47910 47990,71-75 Shelton Street Covent Garden London WC2H 9JQ
BREMONT HOLDINGS LTD,13838281,Active,Private limited company,,2022-01-10,68100 68209,71-75 Shelton Street Covent Garden London WC2H 9JQ
MMMC LTD,13839322,Active,Private limited company,,2022-01-10,82990,71-75 Shelton Street Covent Garden London WC2H 9JQ
MINDFULL OF ART,13839320,Active,"Private Limited Company by guarantee without share capital, use of 'Limited' exemption",,2022-01-10,86900 90030 93290,71-75 Shelton Street Covent Garden London WC2H 9JQ
SHIMANO REELS LTD,13840473,Active,Private limited company,,2022-01-11,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
AZNEWCONCEPT LTD,13840899,Active,Private limited company,,2022-01-11,47789,71-75 Shelton Street Covent Garden London WC2H 9JQ
DARIJA LTD,13841748,Active,Private limited company,,2022-01-11,63110 63990,71-75 Shelton Street Covent Garden London WC2H 9JQ
CWM SPORT-TEC LTD,13841915,Active,Private limited company,,2022-01-11,93199,71-75 Shelton Street Covent Garden London WC2H 9JQ
CANMORE HR SOLUTIONS LTD,13837658,Active,Private limited company,,2022-01-10,78300,71-75 Shelton Street Covent Garden London WC2H 9JQ
AVENTUS COMMUNITY CARE LIMITED,13837668,Active,Private limited company,,2022-01-10,86900 88100,71-75 Shelton Street Covent Garden London WC2H 9JQ
E-BIKE FOR LIFE LTD,13837829,Active,Private limited company,,2022-01-10,47640,71-75 Shelton Street Covent Garden London WC2H 9JQ
CR SMART REPAIR LTD,13837827,Active,Private limited company,,2022-01-10,45200,71-75 Shelton Street Covent Garden London WC2H 9JQ
BIANCA STYLE LTD,13839350,Active,Private limited company,,2022-01-10,32990,71-75 Shelton Street Covent Garden London WC2H 9JQ
SALIES LTD,13840103,Active,Private limited company,,2022-01-11,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
ATELIER STORE LTD,13839930,Active,Private limited company,,2022-01-11,14190 15120 15200,71-75 Shelton Street Covent Garden London WC2H 9JQ
ESHOP MARKET LTD,13840038,Active,Private limited company,,2022-01-11,45190 45200,71-75 Shelton Street Covent Garden London WC2H 9JQ
TRANSFER 360 LIMITED,13840059,Active,Private limited company,,2022-01-11,62012,71-75 Shelton Street London WC2H 9JQ
ECOMTRICKS LTD,13839908,Active,Private limited company,,2022-01-11,46900 47410 47510 62020,71-75 Shelton Street Covent Garden London WC2H 9JQ
PRESTIGE INTELIRENT LTD,13839914,Active,Private limited company,,2022-01-11,68209,71-75 Shelton Street Covent Garden London WC2H 9JQ
TECHPROCONSULT LIMITED,13839931,Active,Private limited company,,2022-01-11,61900 62020 62090 70229,71-75 Shelton Street Covent Garden London WC2H 9JQ
ADERYN VENTURES LIMITED,13839940,Active,Private limited company,,2022-01-11,70229,71-75 Shelton Street Covent Garden London WC2H 9JQ
SQUARE LOGISTICS LTD,13839851,Active,Private limited company,,2022-01-11,49410 53100,71-75 Shelton Street Covent Garden London WC2H 9JQ
MHRIZ LTD,13841789,Active,Private limited company,,2022-01-11,59112,71-75 Shelton Street Covent Garden London WC2H 9JQ
EXQUISITE RESORT GROUP LTD,13841838,Active,Private limited company,,2022-01-11,55100,71-75 Shelton Street Covent Garden London WC2H 9JQ
GADGET CAP LTD,13841832,Active,Private limited company,,2022-01-11,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
ANSUCO LTD,13842183,Active,Private limited company,,2022-01-11,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
DUTCHMAN MARITIME SERVICES LTD,13837856,Active,Private limited company,,2022-01-10,70229 78109 78300,71-75 Shelton Street London WC2H 9JQ
OMNI EDUCATION CONSULTANCY LTD,13838198,Active,Private limited company,,2022-01-10,85600,71-75 Shelton Street Covent Garden London WC2H 9JQ
TANAROZ LIMITED,13838674,Active,Private limited company,,2022-01-10,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
ECONOLECT LTD,13838907,Active,Private limited company,,2022-01-10,46420,71-75 Shelton Street Covent Garden London WC2H 9JQ
PEERZ LIMITED,13838914,Active,Private limited company,,2022-01-10,46900 49410 52243 52290,71-75 Shelton Street Covent Garden London WC2H 9JQ
EIGHTYFOUR MEDIA LIMITED,13839139,Active,Private limited company,,2022-01-10,90010,71-75 Shelton Street Covent Garden London WC2H 9JQ
EZRA NETWORK LTD,13840297,Active,Private limited company,,2022-01-11,62012 63110,71-75 Shelton Street Covent Garden London WC2H 9JQ
6IGMA LTD,13840372,Active,Private limited company,,2022-01-11,46220,71-75 Shelton Street Covent Garden London WC2H 9JQ
HAKVEX LTD,13840321,Active,Private limited company,,2022-01-11,47190 47910 47990,71-75 Shelton Street Covent Garden London WC2H 9JQ
HMADNAH LTD,13840356,Active,Private limited company,,2022-01-11,61900 62030 63120,71-75 Shelton Street Covent Garden London WC2H 9JQ
DIGOLCI LTD,13840978,Active,Private limited company,,2022-01-11,96090,71-75 Shelton Street Covent Garden London WC2H 9JQ
DOOHSIGN INTERNATIONAL LTD,13841724,Active,Private limited company,,2022-01-11,62012 62020 62090,71-75 Shelton Street Covent Garden London WC2H 9JQ
WALKING WISE LTD,13841860,Active,Private limited company,,2022-01-11,70229 74300 79110 79120,71-75 Shelton Street Covent Garden London WC2H 9JQ
STARSEEDS WORLD PRIVATE LIMITED,13841861,Active,Private limited company,,2022-01-11,59111 82990 86900 96090,71-75 Shelton Street Covent Garden London WC2H 9JQ
NEXUSMEDIA MARKETING GROUP LTD,13837877,Active,Private limited company,,2022-01-10,62020 63120 73110 90030,71-75 Shelton Street London WC2H 9JQ
YANISOU LIMITED,13840483,Active,Private limited company,,2022-01-11,96090,71-75 Shelton Street Covent Garden London WC2H 9JQ
SHIFENMEI LTD,13840502,Active,Private limited company,,2022-01-11,47190 47910 47990,71-75 Shelton Street Covent Garden London WC2H 9JQ
HEI HEI GROUP LTD,13842076,Active,Private limited company,,2022-01-11,56290,71-75 Shelton Street Covent Garden London WC2H 9JQ
CHELSEA’S COUNTRY CRAFTS LTD,13837809,Active,Private limited company,,2022-01-10,47789,71-75 Shelton Street Covent Garden London WC2H 9JQ
SWM STUDIO LONDON LIMITED,13837825,Active,Private limited company,,2022-01-10,46420,71-75 Shelton Street Covent Garden London WC2H 9JQ
AB 3D DESIGN & PRINT LTD,13838016,Active,Private limited company,,2022-01-10,16230,71-75 Shelton Street Covent Garden London WC2H 9JQ
CCDEXPRESS.STORE LIMITED,13838716,Active,Private limited company,,2022-01-10,47190,71-75 Shelton Street Covent Garden London WC2H 9JQ
CRAFTILYMARRAKECH LTD,13838723,Active,Private limited company,,2022-01-10,90030 94990,71-75 Shelton Street Covent Garden London WC2H 9JQ
MODAMINOLUXURY LTD,13838930,Active,Private limited company,,2022-01-10,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
PIXEL LEAF LTD,13839106,Active,Private limited company,,2022-01-10,02400 58210 58290,71-75 Shelton Street Covent Garden London WC2H 9JQ
DANTALAB LTD,13839210,Active,Private limited company,,2022-01-10,46190 63990,71-75 Shelton Street Covent Garden London WC2H 9JQ
VUXLINE PURCHASE LTD,13840220,Active,Private limited company,,2022-01-11,46190 46440 46450,71-75 Shelton Street Covent Garden London WC2H 9JQ
COMPANY ACY LIMITED,13840238,Active,Private limited company,,2022-01-11,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
M&S TOGETHER LTD,13840235,Active,Private limited company,,2022-01-11,94110,71-75 Shelton Street Covent Garden London WC2H 9JQ
III GROUP UK LTD,13840668,Active,Private limited company,,2022-01-11,41100 49420,71-75 Shelton Street Covent Garden London WC2H 9JQ
ARGYLL PUBLISHING LTD,13842356,Active,Private limited company,,2022-01-11,58110,71-75 Shelton Street Covent Garden London WC2H 9JQ
SEALTH LONDON LIMITED,13838350,Active,Private limited company,,2022-01-10,20420 46450 47750 47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
GCROIADS LTD,13838601,Active,Private limited company,,2022-01-10,70100 73110,71-75 Shelton Street Covent Garden London WC2H 9JQ
ASTINEY LTD,13838608,Active,Private limited company,,2022-01-10,46190 46420,71-75 Shelton Street Covent Garden London WC2H 9JQ
COMPASS ASSET MANAGEMENT LTD,13838605,Active,Private limited company,,2022-01-10,47910 62012 73110 85600,71-75 Shelton Street Covent Garden London WC2H 9JQ
GRAKEL GROUP LTD,13838594,Active,Private limited company,,2022-01-10,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
SCAS INCORPORATION LTD,13838876,Active,Private limited company,,2022-01-10,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
SCH HOMES LTD,13840587,Active,Private limited company,,2022-01-11,68320,71-75 Shelton Street Covent Garden London WC2H 9JQ
HATCHERS UNITED LLP,OC440581,Active,Limited liability partnership,,2022-01-11," ",71-75 Shelton Street Covent Garden London WC2H 9JQ
BELLWINGS LTD,13841148,Active,Private limited company,,2022-01-11,47190 47910 47990,71-75 Shelton Street Covent Garden London WC2H 9JQ
BRIGHT DIGITAL TEAM LTD,13841181,Active,Private limited company,,2022-01-11,62020,71-75 Shelton Street Covent Garden London WC2H 9JQ
PROFESSIONAL GOODSWARE LTD,13841272,Active,Private limited company,,2022-01-11,46499,71-75 Shelton Street Covent Garden London WC2H 9JQ
OFFICIAL MEDIA  AGENCY LTD,13841226,Active,Private limited company,,2022-01-11,73110 82990,71-75 Shelton Street Covent Garden London WC2H 9JQ
102 LEGAL LTD,13842228,Active,Private limited company,,2022-01-11,69102,71-75 Shelton Street Covent Garden London WC2H 9JQ
COTSWOLD FARM HIDEAWAY LIMITED,13842443,Active,Private limited company,,2022-01-11,68100 68209 68320,71-75 Shelton Street Covent Garden London WC2H 9JQ
KANE SCHMARE LTD,13842448,Active,Private limited company,,2022-01-11,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
APT CONSULTANCY LTD,13838039,Active,Private limited company,,2022-01-10,62020,71-75 Shelton Street Covent Garden London WC2H 9JQ
PRINCIP MEDIA LTD,13838633,Active,Private limited company,,2022-01-10,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
ULTRATEND LTD,13838937,Active,Private limited company,,2022-01-10,70229 73110 73120 74100,71-75 Shelton Street Covent Garden London WC2H 9JQ
DWIGGINS LTD,13838953,Active,Private limited company,,2022-01-10,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
SMILGUICH LTD,13840559,Active,Private limited company,,2022-01-11,45190 45200,71-75 Shelton Street Covent Garden London WC2H 9JQ
THECJUNKY LTD,13841305,Active,Private limited company,,2022-01-11,14190 32120 32130,71-75 Shelton Street Covent Garden London WC2H 9JQ
TEDIMO LTD,13842908,Active,Private limited company,,2022-01-12,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
SUPREME NETSOFT LTD,13843461,Active,Private limited company,,2022-01-12,70100 70229 82990,71-75 Shelton Street Covent Garden London WC2H 9JQ
ADZICOM LTD,13843442,Active,Private limited company,,2022-01-12,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
DEVFX LTD,13843503,Active,Private limited company,,2022-01-12,45310,71-75 Shelton Street Covent Garden London WC2H 9JQ
NULLBYTEZ LTD,13843873,Active,Private limited company,,2022-01-12,62020,71-75 Shelton Street Covent Garden London WC2H 9JQ
NUI LDN LTD,13844230,Active,Private limited company,,2022-01-12,47710,71-75 Shelton Street Covent Garden London WC2H 9JQ
TECHFREAK LTD,13844457,Active,Private limited company,,2022-01-12,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
BRAV SOLUTIONS LTD,13844541,Active,Private limited company,,2022-01-12,73110,71-75 Shelton Street Covent Garden London WC2H 9JQ
LM BRAND CONTENT LTD,13844665,Active,Private limited company,,2022-01-12,73110,71-75 Shelton Street Covent Garden London WC2H 9JQ
ANDAHO LIMITED,13844953,Active,Private limited company,,2022-01-12,64209,71-75 Shelton Street London WC2H 9JQ
INSPIREDME LTD,13843331,Active,Private limited company,,2022-01-12,85600 88990,71-75 Shelton Street Covent Garden London WC2H 9JQ
HEBE TALENT LTD,13843269,Active,Private limited company,,2022-01-12,96090,71-75 Shelton Street Covent Garden London WC2H 9JQ
RAYMANI LTD.,13844366,Active,Private limited company,,2022-01-12,47750,71-75 Shelton Street Covent Garden London WC2H 9JQ
IT'S BLACK LTD,13844417,Active,Private limited company,,2022-01-12,96020,71-75 Shelton Street Covent Garden London WC2H 9JQ
BRAND BLUEPRINT CO LTD,13844610,Active,Private limited company,,2022-01-12,62012 62020 94110,71-75 Shelton Street Covent Garden London WC2H 9JQ
RIVALSHOPPE LTD,13844759,Active,Private limited company,,2022-01-12,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
GAMERSPLAY LTD,13844765,Active,Private limited company,,2022-01-12,62011 62012 62090 63120,71-75 Shelton Street Covent Garden London WC2H 9JQ
JATEN LTD,13844764,Active,Private limited company,,2022-01-12,68201,71-75 Shelton Street Covent Garden London WC2H 9JQ
